system:index,B11,B12,B2,B3,B4,B8,NDVI_2025,landcover,.geo
1_0_0,1551.0,693.0,258.0,483.0,274.0,3348.0,0.8487024,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0,2193.0,934.0,239.0,469.0,189.0,3792.0,0.90504897,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_0,2560.0,1054.0,334.0,667.0,257.0,5484.0,0.9104686,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3_0,1191.0,480.0,209.0,326.0,160.0,2792.0,0.89159894,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4_0,1637.0,647.0,241.0,445.0,223.0,3956.0,0.8932759,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5_0,1627.0,734.0,225.0,548.0,213.0,4100.0,0.90122885,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_6_0,1702.0,699.0,213.0,481.0,203.0,3716.0,0.8964021,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_7_0,2120.0,940.0,292.0,638.0,348.0,3988.0,0.8394834,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8_0,2061.0,951.0,259.0,689.0,249.0,4020.0,0.88334507,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9_0,1510.0,620.0,213.0,442.0,182.0,3156.0,0.89095265,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_10_0,1605.0,670.0,194.0,464.0,208.0,3980.0,0.90066856,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_11_0,2165.5,1045.0,326.5,701.5,313.5,4600.0,0.8723924,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_12_0,2466.0,1115.0,288.0,598.0,231.0,4960.0,0.91099983,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_13_0,1809.5,734.5,202.0,452.5,184.0,4244.0,0.9168925,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_14_0,1844.0,716.0,297.0,552.0,225.0,4368.0,0.9020248,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_15_0,1359.0,523.0,209.5,463.0,228.0,3144.0,0.8647687,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_16_0,2100.0,869.0,224.0,551.0,232.0,4416.0,0.9001721,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_17_0,2216.0,971.0,229.0,574.0,214.0,4392.0,0.9070777,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_18_0,1577.0,590.0,230.0,492.0,249.0,4000.0,0.88279593,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_19_0,2008.0,859.0,254.0,600.0,268.0,4604.0,0.8899836,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20_0,2052.5,912.0,333.5,593.0,289.0,3880.0,0.8613576,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
